match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Expected goals,Final third entries,Fouled in final third,Free kicks,Goal kicks,Goalkeeper saves,Ground duels,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Yellow cards
226,12436909,arsenal,156,4/9 (44%),46%,1,1,,1,9,4,2/13 (15%),6,4/13 (31%),54%,0.47,27,2,13,5,4,29/52 (56%),0,3,10/20 (50%),,185,24,0,4,1,2,0,12,58%,,11,4,4,12,0
227,12436903,man-city,200,4/8 (50%),49%,2,0,2,0,10,1,0/2 (0%),4,6/9 (67%),50%,0.62,18,1,3,2,1,18/36 (50%),0,3,14/32 (44%),0,240,24,,2,1,3,2,9,78%,0,9,1,4,9,2
227,12436903,chelsea,206,4/8 (50%),51%,1,1,0,1,6,3,0/7 (0%),4,7/12 (58%),50%,0.18,16,1,4,2,1,18/36 (50%),0,3,14/29 (48%),1,245,19,,3,2,1,1,7,57%,0,19,1,4,7,1
228,12436897,crystal-palace,107,10/18 (56%),54%,1,,1,3,17,1,2/10 (20%),3,1/3 (33%),51%,0.87,34,3,8,3,2,13/27 (48%),1,2,13/36 (36%),0,157,21,,5,5,3,6,4,100%,,10,2,11,4,1
228,12436897,brentford,78,8/18 (44%),46%,1,,1,0,30,3,2/7 (29%),0,4/8 (50%),49%,1.05,21,2,4,5,2,14/27 (52%),0,2,5/36 (14%),0,133,22,,3,2,4,3,5,80%,,10,2,6,5,2
229,12436907,tottenham,214,12/22 (55%),64%,1,1,0,4,5,5,4/20 (20%),7,3/9 (33%),46%,0.35,35,3,7,1,0,14/34 (41%),1,5,11/19 (58%),3,266,27,,5,3,2,4,4,50%,,16,0,9,4,1
229,12436907,leicester,104,10/22 (45%),36%,1,0,1,1,19,0,1/3 (33%),2,3/5 (60%),54%,1.16,25,0,4,6,2,20/34 (59%),0,9,11/38 (29%),1,159,29,,2,1,2,2,13,62%,,5,2,4,13,5
230,12436893,aston-villa,167,9/20 (45%),48%,0,0,0,1,15,2,1/9 (11%),7,2/13 (15%),38%,0.29,18,1,7,7,2,17/48 (35%),0,5,5/15 (33%),0,198,25,,3,4,1,3,9,56%,,8,2,6,9,1
230,12436893,west-ham,171,11/20 (55%),52%,4,3,1,1,10,1,6/12 (50%),4,9/14 (64%),62%,0.98,38,1,5,5,1,31/48 (65%),0,8,19/34 (56%),1,211,30,,5,4,4,4,18,56%,,7,1,9,18,2
231,12436899,fulham,196,9/20 (45%),53%,,,,0,4,3,6/17 (35%),3,1/5 (20%),49%,0.43,26,0,3,1,0,12/23 (52%),0,5,10/21 (48%),1,231,22,,4,3,1,0,8,50%,,10,0,4,8,0
