match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Big saves,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Errors lead to a goal,Errors lead to a shot,Expected goals,Final third entries,Final third phase,Fouled in final third,Fouls,Free kicks,Goal kicks,Goalkeeper saves,Goals prevented,Ground duels,High claims,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Penalty saves,Punches,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Touches in penalty area,Yellow cards
174,12436473,chelsea,422,7/18 (39%),47%,3,3,0,0,3,16,3,2/14 (14%),4,8/13 (62%),47%,,,1.12,67,85/134 (63%),5,13,13,9,5,0.76,33/68 (49%),1,0,6,16/44 (36%),3,506,,,50,,7,1,8,5,12,58%,,12,5,12,12,24,1
174,12436473,fulham,489,11/18 (61%),53%,3,1,2,2,0,20,1,7/20 (35%),7,14/19 (74%),53%,,,1.78,51,73/106 (69%),2,13,13,6,7,1.04,35/68 (51%),1,0,12,31/54 (57%),1,567,,,57,,10,7,7,4,9,56%,,10,7,14,9,23,3
175,12436477,newcastle,504,14/22 (64%),63%,3,2,1,0,7,19,9,4/18 (22%),13,6/8 (75%),47%,0,0,2.76,56,154/183 (84%),2,15,10,3,1,0.18,27/66 (41%),1,1,8,23/32 (72%),5,550,,,54,0,16,7,8,6,11,73%,1,7,1,22,11,49,2
175,12436477,aston-villa,254,8/22 (36%),37%,0,0,0,2,1,18,6,1/20 (5%),7,10/14 (71%),53%,1,3,0.34,34,42/68 (62%),3,10,15,10,4,0.31,39/66 (59%),2,0,5,14/39 (36%),3,316,,,42,1,2,2,1,2,15,47%,0,11,4,4,15,9,1
176,12436479,forest,191,12/25 (48%),30%,2,1,1,1,2,32,2,1/6 (17%),7,9/13 (69%),54%,,0,1.12,39,67/101 (66%),2,12,13,9,4,0.93,43/76 (57%),1,0,10,19/50 (38%),4,261,,2,50,0,7,5,3,3,21,62%,1,12,4,10,21,18,3
176,12436479,tottenham,545,13/25 (52%),70%,1,1,0,0,5,3,7,1/18 (6%),11,10/20 (50%),46%,,1,0.90,77,166/209 (79%),5,13,12,7,2,0.36,33/76 (43%),0,0,7,9/23 (39%),1,620,,0,55,1,7,4,4,6,11,36%,0,18,2,13,11,30,4
177,12436480,southampton,399,22/43 (51%),54%,4,4,0,,4,13,2,9/23 (39%),9,8/18 (44%),46%,,,1.40,63,106/141 (75%),2,15,8,9,1,-0.58,31/72 (43%),1,0,10,33/63 (52%),,475,,,51,,16,9,5,2,15,53%,0,17,1,18,15,31,1
177,12436480,west-ham,325,21/43 (49%),46%,2,1,1,,6,21,2,3/10 (30%),9,8/14 (57%),54%,,,1.81,47,56/93 (60%),2,8,15,11,5,0.59,41/72 (57%),1,1,6,27/59 (46%),,409,,,49,,11,8,2,5,19,68%,1,13,5,16,19,25,2
178,12436482,wolves,394,16/25 (64%),51%,1,,1,1,2,21,4,2/15 (13%),18,9/15 (60%),56%,0,,0.86,53,89/120 (74%),1,12,12,6,4,1.06,47/87 (54%),1,0,14,32/67 (48%),3,474,,1,58,0,3,1,4,4,26,73%,,18,4,7,26,14,2
178,12436482,man-utd,366,9/25 (36%),49%,0,,0,1,4,21,4,7/20 (35%),12,4/18 (22%),44%,2,,0.44,64,102/142 (72%),4,12,12,6,2,-0.35,40/87 (46%),0,0,13,17/54 (31%),1,457,,1,53,1,5,3,4,6,24,71%,,19,2,11,24,20,4
179,12436474,liverpool,590,11/27 (41%),69%,1,,1,,6,9,14,12/50 (24%),9,5/9 (56%),46%,,,1.91,89,235/281 (84%),2,17,5,2,0,-0.10,28/58 (48%),0,2,8,24/34 (71%),3,649,,0,48,,14,6,7,5,18,44%,3,15,0,19,18,60,3
179,12436474,leicester,237,16/27 (59%),31%,0,,0,,1,52,1,4/6 (67%),9,1/10 (10%),54%,,,0.34,25,16/33 (48%),0,5,17,13,4,-0.78,30/58 (52%),3,0,15,22/59 (37%),2,310,,4,38,,2,2,1,2,13,38%,0,13,4,4,13,4,2
180,12436475,brighton,404,19/30 (63%),58%,1,1,,,5,14,5,4/19 (21%),8,8/18 (44%),58%,,0,1.31,59,118/162 (73%),1,6,12,4,3,0.93,37/67 (55%),1,1,9,21/52 (40%),0,493,,0,67,,15,12,7,9,17,76%,,14,3,24,17,44,0
180,12436475,brentford,267,11/30 (37%),42%,1,1,,,3,32,3,2/9 (22%),6,6/17 (35%),42%,,1,1.07,41,61/92 (66%),0,12,6,14,8,0.80,30/67 (45%),3,0,11,23/66 (35%),5,357,,1,61,,7,2,3,1,18,67%,,17,8,8,18,17,2
181,12436472,arsenal,604,13/28 (46%),68%,3,2,1,0,5,14,5,5/18 (28%),9,7/16 (44%),55%,,,1.86,65,195/238 (82%),3,7,12,1,0,0.00,41/70 (59%),2,0,4,9/26 (35%),1,670,,0,40,,9,3,5,4,24,54%,,16,0,13,24,40,1
181,12436472,ipswich,256,15/28 (54%),32%,0,0,0,1,3,29,1,1/8 (13%),17,6/13 (46%),45%,,,0.15,26,54/69 (78%),1,12,7,6,4,0.33,29/70 (41%),1,0,11,9/36 (25%),2,318,,1,39,,0,0,0,3,18,56%,,10,4,3,18,5,1
