match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Big saves,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Errors lead to a goal,Errors lead to a shot,Expected goals,Final third entries,Final third phase,Fouled in final third,Fouls,Free kicks,Goal kicks,Goalkeeper saves,Goals prevented,Ground duels,High claims,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Penalty saves,Punches,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Touches in penalty area,Yellow cards
203,12436531,chelsea,355,15/27 (56%),57%,5,4,1,0,9,8,9,5/16 (31%),2,14/28 (50%),54%,,1,2.50,49,85/116 (73%),3,15,16,4,1,-0.87,41/76 (54%),3,1,5,33/53 (62%),2,426,,0,45,,16,7,10,10,11,64%,1,22,1,26,11,33,2
203,12436531,bournemouth,248,12/27 (44%),43%,1,0,1,5,1,27,3,2/12 (17%),4,5/12 (42%),46%,,2,1.18,47,52/84 (62%),3,16,14,7,8,1.15,35/76 (46%),0,1,10,17/53 (32%),1,320,,1,45,,6,3,3,1,16,56%,0,19,8,7,16,21,3
204,12436509,west-ham,349,15/31 (48%),44%,2,0,2,,0,27,0,0/5 (0%),10,10/13 (77%),58%,1,,0.95,49,32/63 (51%),1,9,18,14,2,-1.14,41/66 (62%),,0,7,32/60 (53%),5,423,,1,44,,3,1,3,1,13,69%,,8,2,4,13,6,3
204,12436509,fulham,445,16/31 (52%),56%,3,3,0,,5,10,3,6/24 (25%),9,4/8 (50%),42%,2,,1.90,71,128/169 (76%),3,18,9,3,0,-0.88,25/66 (38%),,2,10,31/56 (55%),0,522,,0,46,,12,11,5,9,13,54%,,25,0,21,13,27,3
205,12436526,forest,159,10/28 (36%),29%,1,0,1,3,2,58,0,0/9 (0%),3,6/13 (46%),54%,,,0.31,42,52/85 (61%),2,7,10,13,5,0.95,36/57 (63%),1,0,9,23/62 (37%),2,235,,,44,,2,1,3,4,20,75%,1,21,5,6,20,17,2
205,12436526,liverpool,482,18/28 (64%),71%,4,3,1,0,6,29,9,6/29 (21%),7,4/17 (24%),46%,,,1.99,77,187/241 (78%),3,10,7,4,2,-0.07,21/57 (37%),0,0,2,25/44 (57%),1,566,,,46,,14,10,7,9,10,40%,0,17,2,23,10,52,1
206,12436434,everton,336,16/35 (46%),50%,3,3,0,1,1,23,8,4/20 (20%),15,1/8 (13%),42%,1,2,1.14,69,69/114 (61%),1,17,10,6,2,-0.20,30/75 (40%),1,0,10,30/54 (56%),5,417,,,47,,7,6,3,3,19,47%,1,20,2,10,19,15,2
206,12436434,aston-villa,360,19/35 (54%),50%,4,3,1,0,4,34,5,0/10 (0%),11,6/14 (43%),58%,0,1,1.21,48,60/102 (59%),5,10,17,3,2,0.91,45/75 (60%),2,0,9,15/45 (33%),1,436,,,53,,6,4,3,5,22,73%,0,16,2,11,22,20,1
207,12436527,leicester,523,14/29 (48%),57%,3,3,0,1,6,16,4,6/22 (27%),10,10/17 (59%),48%,,1,1.70,62,104/139 (75%),1,7,6,6,2,0.46,33/68 (49%),1,1,9,24/47 (51%),1,609,,,57,,13,11,4,8,18,61%,3,22,2,21,18,29,
207,12436527,crystal-palace,358,15/29 (52%),43%,4,2,2,1,2,25,3,3/12 (25%),10,12/20 (60%),52%,,2,1.82,50,65/106 (61%),2,6,7,10,4,0.52,35/68 (51%),1,0,9,28/64 (44%),3,456,,,64,,8,3,4,1,17,71%,2,8,4,9,17,20,
208,12436529,newcastle,507,18/24 (75%),61%,3,1,2,0,7,16,4,5/17 (29%),19,16/22 (73%),55%,,,2.11,55,116/154 (75%),1,10,13,6,7,1.60,41/84 (49%),0,1,12,20/35 (57%),3,584,,,68,,11,5,5,6,14,79%,4,15,7,17,14,34,0
208,12436529,wolves,294,6/24 (25%),39%,5,5,0,1,2,11,2,5/10 (50%),6,9/17 (53%),45%,,,1.62,50,84/108 (78%),1,13,10,10,2,-1.21,43/84 (51%),1,2,10,27/62 (44%),1,380,,,63,,8,4,7,5,25,32%,1,19,2,13,25,24,2
209,12436511,arsenal,357,14/22 (64%),53%,4,4,,1,6,14,10,6/25 (24%),11,9/19 (47%),51%,0,1,1.45,63,142/186 (76%),5,16,9,8,1,-0.12,39/81 (48%),2,0,9,20/38 (53%),3,426,,0,47,,11,4,4,3,21,62%,1,12,1,14,21,48,3
209,12436511,tottenham,314,8/22 (36%),47%,1,1,,0,4,31,4,4/17 (24%),15,6/12 (50%),49%,1,2,0.78,37,63/87 (72%),1,9,16,8,3,-1.71,42/81 (52%),2,1,4,14/42 (33%),1,375,,4,43,,8,4,2,2,21,62%,0,19,3,10,21,21,1
210,12436524,ipswich,341,13/29 (45%),46%,,,,1,0,27,1,2/9 (22%),6,5/13 (38%),45%,1,1,0.28,40,42/65 (65%),1,13,14,9,3,0.34,30/67 (45%),0,0,10,16/40 (40%),1,410,,,43,,3,2,3,2,13,62%,,13,3,5,13,8,2
210,12436524,brighton,396,16/29 (55%),54%,,,,2,6,12,9,7/22 (32%),11,10/12 (83%),55%,0,0,0.97,63,95/145 (66%),1,14,13,2,3,0.48,37/67 (55%),1,0,7,17/46 (37%),1,468,,,53,,10,0,5,1,14,93%,,10,3,11,14,25,2
211,12436516,man-utd,504,9/29 (31%),60%,6,3,3,1,12,22,4,3/13 (23%),17,8/16 (50%),40%,0,,3.42,34,102/129 (79%),2,7,10,6,5,-0.33,35/80 (44%),,0,12,14/42 (33%),2,594,,0,54,,17,2,9,6,17,59%,2,19,5,23,17,49,1
211,12436516,southampton,323,20/29 (69%),40%,1,1,0,0,5,29,4,2/8 (25%),14,13/16 (81%),60%,1,,1.54,57,79/125 (63%),2,10,7,7,6,-0.42,45/80 (56%),,0,9,24/52 (46%),0,406,,1,51,,7,3,5,6,25,64%,0,12,6,13,25,18,3
212,12436885,newcastle,310,16/31 (52%),55%,1,1,0,0,5,32,7,3/28 (11%),13,8/16 (50%),50%,2,1,0.79,46,91/124 (73%),5,7,18,9,6,-0.16,43/87 (49%),0,0,3,8/33 (24%),1,395,,0,44,,7,3,5,6,17,47%,,29,6,13,17,34,1
212,12436885,bournemouth,243,15/31 (48%),45%,4,2,2,1,3,34,6,7/24 (29%),11,16/22 (73%),50%,0,0,2.26,59,91/133 (68%),1,18,7,8,3,-0.35,44/87 (51%),1,1,13,22/64 (34%),0,321,,1,53,,16,6,10,3,21,67%,,15,3,19,21,36,6
213,12436440,brentford,252,13/25 (52%),39%,2,2,0,1,1,35,2,1/9 (11%),9,8/9 (89%),57%,,,0.72,30,36/64 (56%),2,6,14,14,6,0.24,33/56 (59%),1,0,10,26/46 (57%),6,319,,1,48,,9,4,6,2,12,50%,,11,6,11,12,24,2
213,12436440,liverpool,423,12/25 (48%),61%,4,2,2,0,15,19,15,10/32 (31%),3,7/16 (44%),43%,,,3.43,53,222/263 (84%),2,14,6,3,7,0.65,23/56 (41%),0,1,4,20/36 (56%),0,484,,0,52,,28,14,8,9,10,50%,,10,7,37,10,61,3
214,12436442,leicester,294,21/42 (50%),39%,1,1,0,0,1,18,5,4/17 (24%),14,6/13 (46%),45%,,0,0.47,45,59/99 (60%),0,8,8,10,0,-0.54,24/59 (41%),,0,8,16/47 (34%),2,380,,,43,,7,3,4,1,11,73%,,18,0,8,11,29,3
214,12436442,fulham,505,21/42 (50%),61%,4,2,2,3,6,25,2,11/23 (48%),7,7/11 (64%),55%,,2,2.19,74,150/187 (80%),2,8,8,4,5,0.57,35/59 (59%),,1,7,33/66 (50%),2,590,,,54,,14,9,2,3,21,62%,,19,5,17,21,33,1
215,12436889,west-ham,449,18/28 (64%),54%,0,0,0,1,3,24,2,3/13 (23%),10,11/20 (55%),52%,,1,0.28,46,74/110 (67%),4,13,10,5,5,-0.37,31/67 (46%),0,0,11,23/46 (50%),1,547,,1,50,1,4,4,0,3,11,55%,1,10,5,7,11,16,3
215,12436889,crystal-palace,386,10/28 (36%),46%,2,1,1,0,1,17,4,1/18 (6%),7,4/8 (50%),48%,,0,1.32,53,73/110 (66%),6,10,12,6,0,0.00,36/67 (54%),1,0,16,13/48 (27%),0,474,,0,42,0,6,4,7,6,19,53%,5,20,0,12,19,17,0
216,12436443,arsenal,429,16/29 (55%),66%,2,,2,0,5,10,10,9/41 (22%),7,7/17 (41%),53%,,1,1.33,82,166/208 (80%),2,10,18,3,2,-0.48,35/67 (52%),0,1,8,21/34 (62%),3,483,,,42,,11,7,6,7,12,58%,2,12,2,18,12,37,2
216,12436443,aston-villa,193,13/29 (45%),34%,2,,2,1,1,40,1,1/6 (17%),8,6/10 (60%),47%,,1,1.04,26,23/45 (51%),0,18,10,11,4,-0.13,32/67 (48%),3,1,3,21/46 (46%),2,262,,,38,,5,3,4,3,17,47%,0,10,4,8,17,14,3
217,12436448,everton,269,18/33 (55%),35%,5,3,2,0,2,34,3,5/19 (26%),8,12/24 (50%),52%,,0,1.95,51,90/119 (76%),4,14,14,7,3,0.15,47/93 (51%),1,1,12,31/53 (58%),2,326,,,43,,9,4,6,3,23,83%,0,16,3,12,23,25,2
217,12436448,tottenham,528,15/33 (45%),65%,2,1,1,1,3,21,8,2/19 (11%),12,13/24 (54%),48%,,1,1.12,59,137/179 (77%),0,14,14,12,4,-1.07,46/93 (49%),0,0,4,19/37 (51%),1,612,,,42,,7,2,6,4,20,75%,3,25,4,11,20,23,1
218,12436883,man-utd,382,14/26 (54%),52%,1,0,1,,6,12,4,3/10 (30%),15,4/11 (36%),45%,1,1,1.48,44,80/110 (73%),4,13,11,3,,-0.81,33/78 (42%),,0,11,21/57 (37%),3,463,,1,46,,9,3,1,1,18,56%,,19,,10,18,29,3
218,12436883,brighton,355,12/26 (46%),48%,4,1,3,,2,17,2,1/9 (11%),6,11/23 (48%),55%,0,0,1.93,42,56/88 (64%),2,12,13,9,,-0.18,45/78 (58%),,0,6,22/55 (40%),3,437,,3,42,,4,1,3,2,22,50%,,19,,6,22,26,3
219,12436887,forest,318,19/41 (46%),45%,4,4,0,1,2,21,2,5/18 (28%),6,7/12 (58%),56%,0,,2.05,52,115/148 (78%),5,4,18,3,1,-0.27,44/71 (62%),1,0,8,25/50 (50%),3,386,,1,42,,9,7,5,5,19,58%,0,16,1,14,19,26,0
219,12436887,southampton,414,22/41 (54%),55%,2,1,1,0,4,32,8,10/24 (42%),12,12/19 (63%),44%,1,,0.89,51,121/149 (81%),0,18,4,6,1,-1.92,27/71 (38%),1,0,6,10/41 (24%),0,475,,1,44,,8,2,4,2,11,91%,1,12,1,10,11,24,4
220,12436439,ipswich,308,10/16 (63%),33%,1,1,0,,3,21,4,3/12 (25%),7,7/14 (50%),53%,1,3,0.58,38,65/82 (79%),2,4,7,10,3,-2.14,27/54 (50%),1,0,8,26/46 (57%),1,353,,2,33,,5,1,4,3,13,69%,0,8,3,8,13,14,0
220,12436439,man-city,686,6/16 (38%),67%,6,2,4,,5,11,7,0/8 (0%),8,9/14 (64%),47%,0,0,3.03,63,192/228 (84%),0,7,4,2,4,0.46,27/54 (50%),4,0,7,20/37 (54%),1,747,,0,42,,14,3,9,3,14,57%,2,11,4,17,14,42,1
221,12436455,chelsea,504,12/21 (57%),63%,4,1,3,1,6,19,3,6/23 (26%),11,7/17 (41%),50%,1,,3.20,60,109/145 (75%),4,8,14,6,3,0.02,30/63 (48%),1,0,7,24/48 (50%),5,567,,1,43,,15,6,7,4,9,89%,0,19,3,19,9,52,4
221,12436455,wolves,261,9/21 (43%),37%,1,0,1,0,3,34,6,3/18 (17%),7,5/7 (71%),50%,0,,0.81,37,66/97 (68%),2,14,8,7,3,0.37,33/63 (52%),1,0,9,18/54 (33%),2,333,,0,44,,6,2,4,3,21,52%,1,17,3,9,21,18,2
222,12436891,bournemouth,288,9/29 (31%),51%,3,0,3,2,3,34,3,2/17 (12%),8,11/14 (79%),53%,0,,1.69,53,105/127 (83%),2,9,12,13,4,1.02,45/73 (62%),1,0,9,21/62 (34%),2,358,,3,48,,11,3,10,5,22,55%,,10,4,16,22,31,2
222,12436891,forest,253,20/29 (69%),49%,1,1,0,0,5,24,9,6/23 (26%),16,8/14 (57%),47%,2,,0.98,56,82/131 (63%),3,12,9,5,5,-1.20,28/73 (38%),0,1,5,19/44 (43%),2,338,,1,46,,11,9,4,7,11,55%,,20,5,18,11,34,3
223,12436895,brighton,560,20/45 (44%),69%,0,,0,,4,18,9,5/30 (17%),15,8/19 (42%),50%,,,0.73,84,174/233 (75%),2,8,11,3,0,-0.10,42/78 (54%),0,0,7,25/49 (51%),2,641,,0,48,,9,11,1,7,23,43%,,22,0,16,23,32,4
223,12436895,everton,224,25/45 (56%),31%,1,,1,,0,55,1,0/4 (0%),13,5/15 (33%),50%,,,0.85,38,27/52 (52%),2,11,7,14,1,0.61,36/78 (46%),1,0,11,24/62 (39%),1,298,,1,42,,2,2,1,1,26,58%,,16,1,3,26,7,4
224,12436901,liverpool,673,11/16 (69%),70%,3,0,3,,3,7,3,5/24 (21%),15,16/23 (70%),55%,,,1.98,92,307/359 (86%),1,10,11,1,2,-0.05,43/83 (52%),0,1,3,22/33 (67%),0,746,,,50,,10,7,6,6,16,56%,1,18,2,16,16,43,0
224,12436901,ipswich,241,5/16 (31%),30%,2,1,1,,0,34,4,3/9 (33%),8,8/16 (50%),45%,,,0.48,29,30/54 (56%),0,11,10,11,2,-0.95,40/83 (48%),1,0,13,18/47 (38%),1,312,,,49,,2,0,3,1,22,55%,0,11,2,3,22,7,2
225,12436905,southampton,396,21/25 (84%),53%,1,0,1,1,4,23,3,4/16 (25%),11,9/17 (53%),58%,,1,0.76,53,106/139 (76%),0,10,5,6,5,-0.30,35/71 (49%),1,0,5,29/60 (48%),2,470,,1,50,,7,3,5,5,21,33%,0,15,5,12,21,15,1
225,12436905,newcastle,357,4/25 (16%),47%,6,3,3,2,4,19,8,1/11 (9%),12,7/16 (44%),42%,,0,2.93,39,96/127 (76%),2,5,9,5,4,0.17,36/71 (51%),0,1,11,9/32 (28%),4,428,,0,52,,10,4,9,7,19,63%,5,11,4,17,19,34,0
226,12436909,wolves,364,14/21 (67%),52%,1,1,,0,1,30,1,3/14 (21%),10,7/19 (37%),50%,,,0.74,52,78/104 (75%),1,20,10,4,2,-0.28,42/92 (46%),1,0,7,20/46 (43%),,433,,1,53,1,4,4,4,5,27,74%,,14,2,9,27,12,2
226,12436909,arsenal,329,7/21 (33%),48%,3,3,,3,3,14,5,4/23 (17%),10,8/25 (32%),50%,,,1.00,55,112/148 (76%),4,10,20,9,4,0.74,50/92 (54%),1,0,8,14/39 (36%),,397,,0,48,1,6,3,3,3,22,50%,,27,4,9,22,20,1
227,12436903,man-city,489,7/15 (47%),57%,7,4,3,,3,15,2,2/5 (40%),5,9/16 (56%),50%,1,0,2.50,41,71/104 (68%),2,6,8,4,3,0.82,30/59 (51%),1,1,6,23/53 (43%),5,567,,,45,,9,6,6,6,13,69%,1,20,3,15,13,26,3
227,12436903,chelsea,352,8/15 (53%),43%,3,2,1,,3,12,3,0/9 (0%),5,11/19 (58%),50%,1,1,1.80,37,54/82 (66%),2,8,6,7,3,-0.65,29/59 (49%),0,0,4,25/62 (40%),2,425,,,35,,7,3,4,3,12,67%,2,28,3,10,12,23,2
228,12436897,crystal-palace,223,18/37 (49%),47%,1,,1,1,4,36,4,3/17 (18%),8,4/12 (33%),48%,0,0,1.08,52,57/103 (55%),3,8,11,9,4,-0.27,30/64 (47%),0,1,2,17/60 (28%),1,315,,2,53,,8,7,5,8,15,87%,,14,4,16,15,22,2
228,12436897,brentford,251,19/37 (51%),53%,1,,1,0,1,45,7,7/18 (39%),5,10/20 (50%),52%,1,2,1.26,51,71/118 (60%),3,11,7,9,4,0.30,34/64 (53%),2,0,2,16/59 (27%),0,352,,0,56,,6,5,6,6,16,56%,,22,4,12,16,33,2
229,12436907,tottenham,450,19/38 (50%),61%,2,1,1,0,4,16,6,6/34 (18%),16,6/16 (38%),46%,,1,1.04,61,110/143 (77%),6,6,16,4,1,-0.46,32/73 (44%),0,2,9,20/42 (48%),5,535,,1,60,,8,5,6,7,10,60%,,26,1,15,10,23,1
229,12436907,leicester,263,19/38 (50%),39%,1,0,1,2,7,32,4,3/16 (19%),6,10/14 (71%),54%,,0,1.56,53,67/101 (66%),0,16,6,7,5,0.77,41/73 (56%),1,0,16,27/65 (42%),2,354,,3,62,,6,2,3,6,26,65%,,12,5,12,26,15,5
230,12436893,aston-villa,309,20/38 (53%),46%,0,0,0,,4,22,4,4/17 (24%),14,8/25 (32%),48%,,1,0.85,35,75/101 (74%),4,13,16,11,2,0.44,49/106 (46%),,0,9,8/33 (24%),2,378,,,48,,9,6,4,5,27,56%,,17,2,14,27,26,2
230,12436893,west-ham,374,18/38 (47%),54%,4,3,1,,4,24,3,9/22 (41%),10,15/32 (47%),52%,,0,1.31,57,82/113 (73%),1,16,13,10,3,-0.19,57/106 (54%),,0,14,39/65 (60%),4,443,,,49,,9,6,4,5,31,55%,,16,3,14,31,39,3
231,12436899,fulham,413,14/30 (47%),51%,,,,0,0,10,3,8/23 (35%),8,4/14 (29%),49%,,,0.67,51,86/117 (74%),0,7,9,4,0,-0.84,28/56 (50%),0,0,7,20/46 (43%),2,496,,,51,,8,6,3,1,16,63%,,16,0,9,16,22,0
231,12436899,man-utd,412,16/30 (53%),49%,,,,1,1,22,0,1/7 (14%),9,3/10 (30%),51%,,,0.25,48,74/106 (70%),3,9,7,9,2,0.19,28/56 (50%),2,0,7,21/53 (40%),2,491,,,51,,1,2,1,3,18,50%,,19,2,4,18,10,1
232,12436930,forest,256,16/24 (67%),37%,6,1,5,3,1,38,4,4/10 (40%),13,15/23 (65%),55%,0,0,3.41,47,65/91 (71%),3,8,12,7,6,1.33,47/90 (52%),,1,7,26/50 (52%),1,326,,,55,,11,4,9,3,21,71%,1,13,6,14,21,29,1
232,12436930,brighton,458,8/24 (33%),63%,1,1,0,0,2,11,6,5/25 (20%),6,14/29 (48%),45%,2,2,0.88,65,110/156 (71%),2,13,8,4,3,-2.50,43/90 (48%),,1,5,19/43 (44%),0,534,,,50,,6,3,5,4,21,62%,1,10,3,10,21,31,3
233,12436911,bournemouth,324,6/13 (46%),49%,3,3,0,,3,24,3,4/17 (24%),6,12/24 (50%),50%,,1,1.58,60,100/139 (72%),0,15,9,7,5,0.33,39/77 (51%),1,2,10,29/54 (54%),4,409,,0,55,,8,8,3,6,19,32%,1,14,5,14,19,29,2
233,12436911,liverpool,348,7/13 (54%),51%,4,3,1,,7,26,3,3/13 (23%),13,6/12 (50%),50%,,4,2.52,49,87/118 (74%),2,9,14,10,4,0.78,38/77 (49%),1,0,11,22/54 (41%),1,426,,1,47,,12,5,7,7,18,61%,0,21,4,19,18,34,3
234,12436921,everton,359,17/30 (57%),47%,7,3,4,0,2,30,5,4/13 (31%),10,9/14 (64%),57%,0,1,2.46,49,63/100 (63%),1,7,13,7,1,0.06,34/59 (58%),1,1,4,31/56 (55%),3,443,,,49,,11,4,7,2,13,62%,3,24,1,13,13,33,
234,12436921,leicester,398,13/30 (43%),53%,0,0,0,1,6,19,6,3/22 (14%),7,4/10 (40%),43%,1,0,0.33,51,56/99 (57%),1,13,7,5,3,-1.49,25/59 (42%),0,0,5,20/59 (34%),1,489,,,47,,5,2,1,4,15,67%,0,13,3,9,15,17,
235,12436924,ipswich,458,19/45 (42%),57%,2,1,1,,4,15,1,3/14 (21%),19,17/32 (53%),46%,,,1.84,65,100/132 (76%),5,11,14,3,2,-1.55,47/99 (47%),2,0,4,20/47 (43%),0,538,,,65,,8,5,6,7,16,50%,1,25,2,15,16,28,0
235,12436924,southampton,312,26/45 (58%),43%,1,0,1,,4,27,2,5/14 (36%),8,7/15 (47%),54%,,,0.91,54,57/99 (58%),0,14,11,9,5,0.43,52/99 (53%),2,0,10,32/75 (43%),4,402,,,70,,7,1,4,2,34,50%,0,9,5,9,34,16,3
236,12436928,newcastle,332,14/27 (52%),48%,3,2,1,1,1,24,3,5/17 (29%),13,3/10 (30%),42%,,,0.75,47,84/116 (72%),2,10,15,10,2,-0.46,24/63 (38%),1,2,4,23/51 (45%),4,403,,1,46,,9,6,4,2,7,29%,1,21,2,11,7,32,4
236,12436928,fulham,353,13/27 (48%),52%,2,1,1,0,7,26,7,8/32 (25%),5,9/11 (82%),58%,,,1.56,52,110/148 (74%),1,15,10,7,3,0.68,39/63 (62%),0,0,7,26/58 (45%),0,431,,1,53,,10,4,4,5,20,60%,0,14,3,15,20,30,4
237,12436932,wolves,200,9/20 (45%),31%,4,3,1,,0,32,5,0/14 (0%),5,7/15 (47%),50%,0,0,1.63,24,31/49 (63%),3,20,13,3,3,0.71,43/84 (51%),2,0,15,14/40 (35%),6,247,,1,43,,6,3,5,2,25,56%,4,13,3,8,25,10,2
237,12436932,aston-villa,493,11/20 (55%),69%,1,1,0,,5,13,8,1/23 (4%),12,8/21 (38%),50%,1,2,0.45,61,104/134 (78%),5,13,20,8,3,-0.30,41/84 (49%),2,0,3,12/21 (57%),3,554,,0,31,,4,2,3,6,13,62%,1,14,3,10,13,18,3
238,12436916,brentford,389,19/35 (54%),54%,2,2,0,,6,11,10,12/38 (32%),12,10/20 (50%),55%,,,2.06,61,133/176 (76%),3,4,11,7,1,-1.56,45/81 (56%),0,1,6,29/48 (60%),0,475,,0,54,,14,10,4,6,24,71%,0,17,1,20,24,49,0
238,12436916,tottenham,356,16/35 (46%),46%,2,1,1,,6,49,3,2/9 (22%),12,10/22 (45%),45%,,,0.86,48,63/89 (71%),0,11,4,13,3,0.78,36/81 (44%),1,0,11,20/42 (48%),1,432,,1,54,,8,5,2,5,22,59%,2,13,3,13,22,21,1
239,12436925,man-utd,463,19/37 (51%),67%,1,1,0,1,9,20,11,7/23 (30%),10,5/16 (31%),49%,,,1.12,64,140/182 (77%),3,12,13,7,1,-1.18,32/67 (48%),1,1,12,23/49 (47%),0,563,,0,56,,12,6,2,5,15,67%,0,18,1,17,15,57,3
239,12436925,crystal-palace,188,18/37 (49%),33%,4,2,2,1,1,45,0,2/7 (29%),10,4/9 (44%),51%,,,2.60,51,39/92 (42%),1,13,12,7,2,0.53,35/67 (52%),2,1,12,6/48 (13%),1,288,,1,61,,8,7,3,3,21,48%,3,18,2,11,21,22,1
240,12436913,arsenal,347,7/14 (50%),46%,2,1,1,1,3,20,5,1/12 (8%),12,9/11 (82%),57%,0,0,1.00,39,91/117 (78%),2,6,7,4,3,0.05,31/53 (58%),,0,5,17/37 (46%),3,398,,0,43,,8,2,7,4,16,50%,1,14,3,12,16,17,2
240,12436913,man-city,426,7/14 (50%),54%,1,0,1,1,0,21,2,3/14 (21%),12,2/6 (33%),43%,2,2,0.81,43,151/170 (89%),1,7,6,7,2,-1.99,22/53 (42%),,1,6,20/35 (57%),1,474,,2,38,,5,3,4,2,14,57%,0,14,2,7,14,15,0
241,12436919,chelsea,516,20/33 (61%),68%,2,1,1,0,10,14,4,6/22 (27%),7,5/12 (42%),57%,1,1,1.67,67,138/180 (77%),1,11,10,6,4,-0.59,37/67 (55%),,0,3,14/35 (40%),0,597,,,43,,15,9,3,7,23,78%,0,19,4,22,23,34,3
241,12436919,west-ham,206,13/33 (39%),32%,1,1,0,1,3,34,3,4/14 (29%),10,5/18 (28%),43%,0,1,1.22,34,54/78 (69%),0,10,11,14,3,-1.68,30/67 (45%),,1,11,21/60 (35%),1,280,,,40,,9,6,5,5,14,50%,1,11,3,14,14,24,1
242,12436937,brighton,251,13/26 (50%),31%,5,4,1,,2,32,2,2/3 (67%),12,7/14 (50%),50%,,0,1.42,34,43/71 (61%),1,12,15,8,1,0.00,40/80 (50%),1,1,13,22/52 (42%),2,327,,1,36,,8,6,5,5,20,55%,0,10,1,13,20,22,1
242,12436937,chelsea,664,13/26 (50%),69%,1,1,0,,2,9,9,1/18 (6%),9,9/20 (45%),50%,,3,0.54,62,118/147 (80%),1,15,12,7,3,-1.17,40/80 (50%),0,0,7,17/36 (47%),3,735,,0,39,,6,6,0,2,19,21%,1,17,3,8,19,26,2
243,12436943,leicester,230,12/27 (44%),40%,1,1,0,1,2,27,3,7/16 (44%),9,9/15 (60%),50%,,2,0.22,51,45/88 (51%),0,9,10,7,3,-0.03,41/79 (52%),0,0,7,13/55 (24%),1,321,,1,47,,4,2,2,2,23,57%,0,22,3,6,23,23,2
243,12436943,arsenal,420,15/27 (56%),60%,3,1,2,0,3,22,7,4/18 (22%),15,14/22 (64%),50%,,0,1.38,54,119/158 (75%),1,10,9,4,2,0.15,38/79 (48%),2,2,5,15/33 (45%),4,491,,1,49,,6,3,5,5,15,73%,3,23,2,11,15,34,1
244,12436934,aston-villa,603,11/18 (61%),76%,6,5,1,0,9,9,16,5/32 (16%),10,17/29 (59%),55%,,,2.42,71,216/260 (83%),4,7,11,2,3,0.16,40/74 (54%),1,1,5,14/24 (58%),2,666,,0,49,0,15,10,6,10,12,67%,1,12,3,25,12,47,0
244,12436934,ipswich,160,7/18 (39%),24%,0,0,0,5,1,39,1,3/6 (50%),8,5/9 (56%),45%,,,0.37,28,25/46 (54%),2,11,7,14,6,1.79,34/74 (46%),0,0,13,16/45 (36%),3,219,,1,37,1,2,0,3,2,22,45%,1,13,6,4,22,9,5
245,12436940,fulham,439,16/31 (52%),56%,4,2,2,0,6,25,8,10/33 (30%),4,5/11 (45%),46%,,,2.18,61,119/152 (78%),2,13,8,8,1,0.06,21/50 (42%),,0,7,28/51 (55%),1,499,,1,50,,20,8,10,4,8,100%,,11,1,24,8,37,
245,12436940,forest,343,15/31 (48%),44%,0,0,0,4,3,30,4,4/18 (22%),3,7/12 (58%),54%,,,0.42,51,85/109 (78%),1,8,13,8,8,1.77,29/50 (58%),,0,8,25/49 (51%),1,404,,1,48,,6,3,2,2,10,70%,,10,8,8,10,16,
246,12436948,man-city,543,8/13 (62%),62%,4,1,3,,2,19,7,7/13 (54%),9,8/25 (32%),51%,,1,1.90,60,131/155 (85%),2,5,13,3,1,0.38,31/63 (49%),0,0,6,28/45 (62%),0,590,,1,41,,7,2,7,4,10,50%,,13,1,11,10,24,0
246,12436948,newcastle,292,5/13 (38%),38%,0,0,0,,1,20,4,3/14 (21%),7,1/4 (25%),49%,,1,0.48,29,64/91 (70%),2,13,5,4,3,-1.24,32/63 (51%),1,0,7,15/34 (44%),3,353,,0,42,,3,1,1,0,26,58%,,15,3,3,26,10,1
247,12436950,southampton,306,22/36 (61%),45%,1,1,0,3,4,28,4,4/20 (20%),9,15/22 (68%),60%,,,0.79,53,97/143 (68%),4,13,15,7,5,-0.19,57/96 (59%),0,0,11,21/43 (49%),,386,,,51,,7,3,4,4,27,67%,1,16,5,11,27,25,1
247,12436950,bournemouth,399,14/36 (39%),55%,3,2,1,0,4,26,6,5/18 (28%),13,10/24 (42%),40%,,,1.20,60,105/137 (77%),0,15,13,5,3,0.04,39/96 (41%),1,0,9,24/59 (41%),,483,,,50,,10,3,7,4,16,44%,1,27,3,14,16,30,3
248,12436956,west-ham,426,16/37 (43%),59%,1,1,0,,7,22,9,3/31 (10%),11,10/18 (56%),53%,,,0.82,57,103/133 (77%),3,10,13,5,4,0.97,44/77 (57%),1,1,2,20/44 (45%),2,501,,,49,,6,3,3,7,21,38%,0,17,4,13,21,26,1
248,12436956,brentford,282,21/37 (57%),41%,2,1,1,,4,29,2,4/16 (25%),14,4/11 (36%),47%,,,1.66,56,89/128 (70%),1,13,10,6,3,0.30,33/77 (43%),3,1,5,25/55 (45%),4,362,,,52,,10,5,5,4,19,47%,2,12,3,14,19,34,1
