Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
11,Brentford,25,10,4,11,43,42,+1,34,1.36,40.1,40.2,-0.1,0.00,"<div style=""display:inline-block; border-radius:2px; background-color:#888; width:15px; text-align:center"" class=""poptip"" tip=""January 14, 2025
Brentford 2–2 Manchester City"">D <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 18, 2025
Brentford 0–2 Liverpool"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 26, 2025
Crystal Palace 1–2 Brentford"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 2, 2025
Brentford 0–2 Tottenham"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 15, 2025
West Ham 0–1 Brentford"">W","19,349",Bryan Mbeumo - 14,Mark Flekken,
12,Tottenham,25,9,3,13,49,37,+12,30,1.20,41.8,42.0,-0.2,-0.01,"<div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 15, 2025
Arsenal 2–1 Tottenham"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 19, 2025
Everton 3–2 Tottenham"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 26, 2025
Tottenham 1–2 Leicester City"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 2, 2025
Brentford 0–2 Tottenham"">W <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 16, 2025
Tottenham 1–0 Manchester Utd"">W","61,339",James Maddison - 9,Guglielmo Vicario,
13,Crystal Palace,25,7,9,9,29,32,-3,30,1.20,35.3,33.3,+2.0,+0.08,"<div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 15, 2025
Leicester City 0–2 Crystal Palace"">W <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 18, 2025
West Ham 0–2 Crystal Palace"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 26, 2025
Crystal Palace 1–2 Brentford"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 2, 2025
Manchester Utd 0–2 Crystal Palace"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 15, 2025
Crystal Palace 1–2 Everton"">L","25,134",Jean-Philippe Mateta - 11,Dean Henderson,
14,Everton,25,7,9,9,27,31,-4,30,1.20,26.3,32.2,-5.9,-0.24,"<div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 19, 2025
Everton 3–2 Tottenham"">W <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 25, 2025
Brighton 0–1 Everton"">W <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 1, 2025
Everton 4–0 Leicester City"">W <div style=""display:inline-block; border-radius:2px; background-color:#888; width:15px; text-align:center"" class=""poptip"" tip=""February 12, 2025
Everton 2–2 Liverpool"">D <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 15, 2025
Crystal Palace 1–2 Everton"">W","38,043",Iliman Ndiaye - 6,Jordan Pickford,
15,Manchester Utd,25,8,5,12,28,35,-7,29,1.16,35.3,38.6,-3.3,-0.13,"<div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 16, 2025
Manchester Utd 3–1 Southampton"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 19, 2025
Manchester Utd 1–3 Brighton"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 26, 2025
Fulham 0–1 Manchester Utd"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 2, 2025
Manchester Utd 0–2 Crystal Palace"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 16, 2025
Tottenham 1–0 Manchester Utd"">L","73,720",Amad Diallo - 6,André Onana,
16,West Ham,25,7,6,12,29,47,-18,27,1.08,32.7,43.2,-10.5,-0.42,"<div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 14, 2025
West Ham 3–2 Fulham"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 18, 2025
West Ham 0–2 Crystal Palace"">L <div style=""display:inline-block; border-radius:2px; background-color:#888; width:15px; text-align:center"" class=""poptip"" tip=""January 26, 2025
Aston Villa 1–1 West Ham"">D <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 3, 2025
Chelsea 2–1 West Ham"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 15, 2025
West Ham 0–1 Brentford"">L","62,464",Jarrod Bowen - 6,Alphonse Areola,
17,Wolves,25,5,4,16,35,54,-19,19,0.76,27.2,41.1,-13.9,-0.55,"<div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 15, 2025
Newcastle Utd 3–0 Wolves"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 20, 2025
Chelsea 3–1 Wolves"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 25, 2025
Wolves 0–1 Arsenal"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 1, 2025
Wolves 2–0 Aston Villa"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 16, 2025
Liverpool 2–1 Wolves"">L","30,711",Matheus Cunha - 12,José Sá,
18,Ipswich Town,25,3,8,14,23,50,-27,17,0.68,22.7,50.3,-27.6,-1.10,"<div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 16, 2025
Ipswich Town 0–2 Brighton"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 19, 2025
Ipswich Town 0–6 Manchester City"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 25, 2025
Liverpool 4–1 Ipswich Town"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 1, 2025
Ipswich Town 1–2 Southampton"">L <div style=""display:inline-block; border-radius:2px; background-color:#888; width:15px; text-align:center"" class=""poptip"" tip=""February 15, 2025
Aston Villa 1–1 Ipswich Town"">D","29,756",Liam Delap - 10,Arijanet Muric,
19,Leicester City,25,4,5,16,25,55,-30,17,0.68,23.6,48.0,-24.4,-0.98,"<div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 15, 2025
Leicester City 0–2 Crystal Palace"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 18, 2025
Leicester City 0–2 Fulham"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""January 26, 2025
Tottenham 1–2 Leicester City"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 1, 2025
Everton 4–0 Leicester City"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 15, 2025
Leicester City 0–2 Arsenal"">L","31,587",Jamie Vardy - 7,Mads Hermansen,
20,Southampton,25,2,3,20,19,57,-38,9,0.36,24.4,57.1,-32.6,-1.31,"<div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 16, 2025
Manchester Utd 3–1 Southampton"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 19, 2025
Nott'ham Forest 3–2 Southampton"">L <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""January 25, 2025
Southampton 1–3 Newcastle Utd"">L <div style=""display:inline-block; border-radius:2px; background-color:green; width:15px; text-align:center"" class=""poptip"" tip=""February 1, 2025
Ipswich Town 1–2 Southampton"">W <div style=""display:inline-block; border-radius:2px; background-color:#e60000; width:15px; text-align:center"" class=""poptip"" tip=""February 15, 2025
Southampton 1–3 Bournemouth"">L","31,125",Joe Aribo - 3,Aaron Ramsdale,
